Number,Status,Arrival,Departure,Count (nights),"Count (bed, nightly)",Requested category,Space category,Person count,Adults,Children
382567,Checked out,2023-10-03 01:49:31.109,2023-10-03 09:01:59.189,1,2,Comfort Double,Comfort Double,2,2,0
381334,Checked out,2023-10-02 15:39:54.178,2023-10-04 10:39:57.606,2,4,Comfort Double,Comfort Double,2,2,0
346761,Checked out,2023-10-02 23:08:48.395,2023-10-07 08:54:27.882,5,5,Comfort Double,Comfort Double,1,1,0
373752,Checked out,2023-10-02 10:11:31.568,2023-10-05 06:09:31.582,3,3,Comfort Twin,Comfort Double,1,1,0
380440,Checked out,2023-10-02 18:19:25.193,2023-10-04 11:00:00.000,2,2,Comfort Double,Comfort Double,1,1,0
380410,Checked out,2023-10-02 17:56:05.802,2023-10-04 08:50:21.900,2,4,Comfort Double,Comfort Double,2,2,0
382544,Checked out,2023-10-02 20:54:40.092,2023-10-03 08:19:06.834,1,2,Comfort Double,Comfort Double,2,2,0
381439,Checked out,2023-10-02 21:16:18.437,2023-10-03 08:05:17.718,1,1,Comfort Double,Comfort Double,1,1,0
379840,Checked out,2023-10-02 17:33:31.014,2023-10-04 09:42:10.786,2,2,Comfort Double,Comfort Double,1,1,0
381438,Checked out,2023-10-02 21:15:52.458,2023-10-03 07:59:33.427,1,1,Comfort Double,Comfort Double,1,1,0
379720,Checked out,2023-10-02 18:22:38.177,2023-10-03 08:00:39.049,1,1,Comfort Double,Comfort Double,1,1,0
381233,Checked out,2023-10-02 21:10:42.134,2023-10-03 07:14:07.161,1,2,Comfort Double,Comfort Double,2,2,0
375985,Checked out,2023-10-02 20:57:07.301,2023-10-05 10:02:44.189,3,3,Comfort Double,Comfort Double,1,1,0
365586,Checked out,2023-10-02 12:02:08.712,2023-10-04 10:42:29.604,2,2,Comfort Double,Comfort Double,1,1,0
370652,Checked out,2023-10-02 18:17:27.156,2023-10-04 11:00:00.000,2,2,Comfort Double,Comfort Double,1,1,0
378858,Checked out,2023-10-02 18:01:37.437,2023-10-05 08:43:38.846,3,3,Comfort Double,Comfort Double,1,1,0
370108,Checked out,2023-10-02 16:52:42.166,2023-10-04 10:15:08.738,2,2,Comfort Double,Comfort Double,1,1,0
370097,Checked out,2023-10-02 16:54:21.913,2023-10-04 10:11:09.850,2,2,Comfort Double,Comfort Double,1,1,0
364744,Checked out,2023-10-02 18:36:34.196,2023-10-04 11:00:00.000,2,4,Comfort Double,Comfort Double,2,2,0
376836,Checked out,2023-10-02 14:13:50.385,2023-10-05 08:59:36.862,3,3,Comfort Double,Comfort Double,1,1,0
378469,Checked out,2023-10-02 19:38:06.265,2023-10-06 08:10:28.697,4,4,Comfort Double,Comfort Double,1,1,0
382586,Checked out,2023-10-02 18:11:59.222,2023-10-03 08:36:16.395,1,1,Comfort Double,Comfort Double,1,1,0
348280,Checked out,2023-10-02 15:56:13.951,2023-10-04 07:00:00.000,2,4,Comfort Double,Comfort Double,2,2,0
378857,Checked out,2023-10-02 18:00:11.264,2023-10-05 08:37:21.173,3,3,Comfort Double,Comfort Double,1,1,0
376086,Checked out,2023-10-02 20:06:10.302,2023-10-05 10:11:06.134,3,3,Comfort Double,Comfort Double,1,1,0
371419,Checked out,2023-10-02 16:24:07.572,2023-10-04 07:14:10.494,2,2,Comfort Double,Comfort Double,1,1,0
367462,Checked out,2023-10-02 15:31:48.944,2023-10-06 07:28:45.534,4,4,Comfort Double,Comfort Double,1,1,0
381495,Checked out,2023-10-02 21:14:50.619,2023-10-03 11:00:00.000,1,1,Comfort Double,Comfort Double,1,1,0
380548,Checked out,2023-10-03 00:03:29.798,2023-10-04 07:14:34.455,2,2,Comfort Double,Comfort Double,1,1,0
381456,Checked out,2023-10-02 17:45:33.598,2023-10-03 09:29:13.814,1,2,Comfort Double,Comfort Double,2,2,0
371184,Checked out,2023-10-02 19:24:55.556,2023-10-07 10:03:31.758,5,10,Comfort Double,Comfort Double,2,2,0
379890,Checked out,2023-10-02 18:33:19.685,2023-10-03 09:02:24.633,1,1,Comfort Double,Comfort Double,1,1,0
379892,Checked out,2023-10-02 21:09:12.460,2023-10-08 08:33:13.389,6,6,Comfort Double,Comfort Double,1,1,0
367640,Checked out,2023-10-02 15:54:18.500,2023-10-05 06:58:04.461,3,6,Comfort Double,Comfort Double,2,2,0
378415,Checked out,2023-10-02 12:57:52.267,2023-10-08 08:33:59.888,6,6,Comfort Double,Comfort Double,1,1,0
378414,Checked out,2023-10-02 12:58:43.774,2023-10-08 08:38:38.328,6,6,Comfort Double,Comfort Double,1,1,0
376751,Checked out,2023-10-02 15:42:48.092,2023-10-04 09:41:32.051,2,2,Comfort Double,Comfort Double,1,1,0
382587,Checked out,2023-10-02 18:12:18.293,2023-10-03 11:00:00.000,1,1,Comfort Twin,Comfort Twin,1,1,0
382182,Checked out,2023-10-02 20:03:07.260,2023-10-05 07:39:41.017,3,3,Comfort Twin,Comfort Twin,1,1,0
381575,Checked out,2023-10-02 18:30:42.143,2023-10-05 09:33:50.143,3,3,Comfort Double,Comfort Twin,1,1,0
381986,Checked out,2023-10-02 13:28:29.375,2023-10-04 10:30:02.240,2,4,Comfort Twin,Comfort Twin,2,2,0
382109,Checked out,2023-10-02 18:32:35.088,2023-10-03 07:28:42.956,1,1,Comfort Twin,Comfort Twin,1,1,0
382209,Checked out,2023-10-02 11:13:06.309,2023-10-04 05:35:43.358,2,2,Comfort Twin,Comfort Twin,1,1,0
382584,Checked out,2023-10-02 16:57:38.416,2023-10-03 07:19:29.862,1,1,Comfort Twin,Comfort Twin,1,1,0
380947,Checked out,2023-10-02 20:19:00.639,2023-10-03 09:11:42.943,1,1,Comfort Twin,Comfort Twin,1,1,0
382419,Checked out,2023-10-02 16:36:09.289,2023-10-04 11:00:00.000,2,4,Comfort Twin,Comfort Twin,2,2,0
381565,Checked out,2023-10-02 16:50:06.522,2023-10-04 09:36:57.769,2,2,Comfort Double,Comfort Twin,1,1,0
382110,Checked out,2023-10-02 18:33:33.898,2023-10-03 07:28:42.956,1,1,Comfort Twin,Comfort Twin,1,1,0
381987,Checked out,2023-10-02 13:29:46.675,2023-10-04 10:30:02.240,2,4,Comfort Twin,Comfort Twin,2,2,0
381783,Checked out,2023-10-02 15:25:20.661,2023-10-04 10:46:05.665,2,4,Comfort Twin,Comfort Twin,2,2,0
370782,Checked out,2023-10-02 14:14:30.414,2023-10-07 08:16:22.598,5,10,Comfort Double,Comfort Twin,2,2,0
